#################################################################################################################################################################
#
# This is Table C1 from Krajnovic et al. 2012: "The ATLAS3D Project - XVII. Linking photometric and kinematic signatures of stellar discs in early-type galaxies"
#
#################################################################################################################################################################
# Its contents are: 
# 
# Column (1): The Name is the principal designation from LEDA, which is used as standard designation.
# Column (2,3): Effective surface brightness of the single Sersic fit.
# Column (4,5): Effective radius of the  single Sersic fit in arcsec + error.
# Column (6-7):  S\'ersic index of the single Sersic fit + error.
# Column (8,9): Effective surface brightness of the bulge component in mag arcsec$^{-2}$ +error.
# Column (10,11): Effective radius of the bulge in arcsec + error.
# Column (12,13): S\'ersic index of the bulge component + error.
# Column (14): Flattening of the bulge component.
# Column (15,16): Effective surface brightness of the exponential component in mag arcsec$^{-2}$ +error.
# Column (17,18): Effective radius of the exponential component in arcsec+error.  
# Column (19):  Flattening of the exponential component.  
# Column (20,21): Disk-to-Total light ratio +error. 
#
# Note that Columns (2)-(4) are results of one component S\'ersic fits to profiles azimuthally averaged along 
# fixed ellipses, while columns (6)-(12) are results of two components fits to profiles azimuthally averaged 
# along free ellipses. This explains the difference between ($\mu_g$, $R_g$, $n_g$) and ($\mu_b$, $R_b$, $n_b$) 
# when two component fit was not required ($\mu_d=0$, $R_d=0$).
#
####################################################################################################################################################################
    name       mu_e      er_mu_e    R_e      er_R_e       n       er_n      mu_e_b  er_mu_e_b    R_e_b    er_R_e_b    n_b      er_n_b    q_b       m0_d    er_m0_d      R_d     er_R_d     q_d       D/T      er_dt
   NGC3619     24.67      0.69     119.3      68.0       9.8       1.8      20.49      0.59      10.8       8.3       5.6       2.9      0.91     21.31      0.13      29.9       1.6      0.91      0.46     0.209
   NGC3626     20.99      0.37      29.0      13.2       2.7       1.9       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3630     19.32      0.10      13.2       0.7       2.4       0.2      18.05      0.58       3.1       1.3       0.6       0.5      0.81     18.40      0.04      12.1       0.7      0.46      0.81     0.091
   NGC3640     21.40      0.12      42.2       2.7       4.6       0.3      19.68      0.44      16.8       8.8       2.1       0.8      0.77     21.49      0.16      49.9      21.8      0.82      0.40     0.302
   NGC3641     24.58      0.70      51.9      41.2      12.0       0.0      18.52      0.49       2.6       0.2       1.7       0.4      0.78     21.10      0.11      13.6       4.7      0.92      0.55     0.053
   NGC3648     20.43      0.21      12.9       1.9       1.8       0.8      18.29      0.24       2.5       0.4       0.6       0.3      0.78     18.99      0.03       9.5       0.3      0.60      0.79     0.038
   NGC3658     21.63      0.29      21.1       4.8       2.6       1.6       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3665     21.62      0.09      47.3       2.1       3.3       0.2      21.66      0.10      48.5       2.3       2.9       0.2      0.78      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3674     19.61      0.05      11.5       0.3       2.2       0.1      18.41      0.43       2.9       0.7       5.0       3.1      0.76     18.99      0.04      10.8       0.2      0.50      0.57     0.114
   NGC3694     20.20      0.18       7.4       0.8       2.2       0.4      20.25      0.14       8.1       0.6       1.6       0.3      0.74      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3757     19.42      0.36       6.2       1.2       3.8       0.9       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3796     20.74      0.08      12.3       0.4       3.1       0.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3838     19.39      0.12      10.2       0.6       2.5       0.2      17.55      0.41       2.1       0.4       0.6       0.3      0.77     18.05      0.03       8.3       0.2      0.49      0.81     0.051
   NGC3941     19.68      0.18      21.3       2.4       2.5       0.6       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3945     21.24      0.47      36.9      12.4       6.5       2.5       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3998     19.90      0.32      19.3       4.5       4.6       1.9      17.60      0.16       5.0       0.4       1.3       0.4      0.87     19.25      0.03      21.0       0.7      0.81      0.63     0.036
   NGC4026     19.42      0.13      28.5       2.0       2.4       0.4      17.87      0.06       5.4      14.5       1.7       0.8      0.64     18.68      0.03      26.5       1.3      0.40      0.75     0.000
   NGC4036     19.85      0.07      29.3       0.9       2.0       0.1      21.87      0.58      26.9       8.5       8.6       2.2      0.40     18.46      0.04      21.0       0.6      0.43      0.74     0.020
